Number,Orientated Gradient,Nearest Edge,Profiles

1,1819.655258,1901.343545,2355.863966
2,2574.327681,2516.855612,3339.389387
3,3881.933749,4144.124856,3174.753026
4,4176.542958,4363.965605,4777.121959
5,1896.22025,2614.866113,2893.772849
6,4110.183924,4037.398879,4307.558375
7,3245.977556,3732.113309,3738.139635
8,2385.99068,3049.260544,3168.804846
9,2449.894409,3457.718605,3211.818036
10,3459.987205,3998.65734,4211.293344
11,3034.125283,3532.33652,3647.065266
12,1657.372988,2346.401805,1971.689986
13,4290.749684,4288.406321,4682.828212
14,3844.508912,3226.977932,2987.349513
Som,42827.47054,47210.42699,48467.4484
Gem,3059.105038,3372.173356,3461.9606
